units,base,id,name,sprite,title,type,hp,atk,def,spd,trigger,trigger2,trigger3,ability,explanation,sm1sprite,lg1sprite,ida,sm2sprite,lg2sprite,idb,sm3sprite,lg3sprite,idc
1,base1.png,No.127,PINSIR,127.png,THE STAG BEETLE POKÉMON,BUG,6,7,7,7,,,,"Pinsir gives allies Damage bonus equal to number of Bug type Pokemon owned.
",,,,,,127.png,No.127,,,
1,base1.png,No.128,TAUROS,128.png,THE WILD BULL POKÉMON,NORMAL,6,6,7,9,,,,Tauros removes your hand size limit,,,,,,128.png,No.128,,,
1,base2a.png,No.111,RHYHORN,111.png,THE SPIKES POKÉMON,GROUND,7,4,5,2,,,,"Whenever you Dig, Rhyhorn Draws 1 Card.","*Dig X:* Look at the top X cards, you may Discard any of them instead.",,111.png,No.111,,,,112.png,,No.112
1,base2b.png,No.112,RHYDON,112.png,THE DRILL POKÉMON,GROUND,9,7,7,3,,,,"Whenever you Dig, Rhydon Draws Cards equal to the Digging value.","*Dig X:* Look at the top X cards, you may Discard any of them instead.",111.png,,No.111,,,,,112.png,No.112
1,base1.png,No.115,KANGASKHAN,115.png,THE PARENT POKÉMON,NORMAL,9,5,6,8,,,,,,,,,,115.png,No.115,,,
1,base2a.png,No.1O2,EXEGGCUTE,102.png,THE EGG POKÉMON,GRASS,5,4,5,3,,,,Tangela increase all Healing to allies by 1.,,,102.png,No.1O2,,,,103.png,,No.1O3
1,base2b.png,No.1O3,EXEGGUTOR,103.png,THE COCONUT POKÉMON,GRASS,8,9,6,5,,,,,,102.png,,No.1O2,,,,,103.png,No.1O3
1,base3a.png,No.147,DRATINI,147.png,THE DRAGON POKÉMON,DRAGON,3,5,4,4,,,,,,,147.png,No.147,148.png,,No.148,149.png,,No.149
1,base3b.png,No.148,DRAGONAIR,148.png,THE DRAGON POKÉMON,DRAGON,5,6,5,6,,,,,,147.png,,No.147,,148.png,No.148,149.png,,No.149
1,base3c.png,No.149,DRAGONITE,149.png,THE DRAGON POKÉMON,DRAGON,7,9,8,7,,,,,,147.png,,No.147,148.png,,No.148,,149.png,No.149
1,base1.png,No.133,EEVEE,133.png,THE EVOLUTION POKÉMON,NORMAL,5,4,5,5,,,,Eevee evolves if you encounter the Lost Eevee! Event.,,,,,,133.png,No.133,,,
1,base1.png,No.151,MEW,151.png,THE NEW SPECIES POKÉMON,PSYCHIC,9,8,8,9,,,,Mew changes your hand to become your entire deck instead.,,,,,,151.png,No.151,,,
1,base1.png,No.15O,MEWTWO,150.png,THE GENETIC POKÉMON,PSYCHIC,9,1O,7,11,,,,Mewtwo repeats all moves performed by allies.,,,,,,150.png,No.15O,,,
1,base1.png,No.144,ARTICUNO,144.png,THE FREEZE POKÉMON,ICE,8,7,9,7,,,,"Articuno doubles all allies' DEF.

(DEF cannot exceed 12)",,,,,,144.png,No.144,,,
1,base1.png,No.145,ZAPDOS,145.png,THE ELECTRIC POKÉMON,ELECTRIC,7,9,7,8,,,,Zapdos doubles all allies' SPD.,,,,,,145.png,No.145,,,
1,base1.png,No.146,MOLTRES,146.png,THE FLAME POKÉMON,FIRE,8,9,7,8,,,,Moltres doubles all allies' ATK.,,,,,,146.png,No.146,,,
1,base1.png,No.137,PORYGON,137.png,THE VIRTUAL POKÉMON,NORMAL,5,6,6,3,,,,"At the start of the turn, you may switch Porygon's typing to a Type of your choosing.",,,,,,137.png,No.137,,,
1,base2a.png,No.129,MAGIKARP,129.png,THE FISH POKÉMON,WATER,1,1,3,7,,,,,,,129.png,No.129,,,,130.png,,No.13O
1,base2a.png,No.138,OMANYTE,138.png,THE SPIRAL POKÉMON,ROCK,3,5,6,3,,,,Whenever an ally gains ATK. Omanyte grants them +1 DEF until the end of Round.,,,138.png,No.138,,,,139.png,,No.139
1,base2a.png,No.14O,KABUTO,140.png,THE SHELLFISH POKÉMON,ROCK,3,5,5,5,,,,Whenever an ally gains DEF. Kabuto grants them +1 ATK until the end of Round.,,,140.png,No.14O,,,,141.png,,No.141
1,base1.png,No.142,AERODACTYL,142.png,THE FOSSIL POKÉMON,ROCK,7,7,6,11,,,,,,,,,,142.png,No.142,,,
1,base2b.png,No.141,KABUTOPS,141.png,THE SHELLFISH POKÉMON,ROCK,5,7,7,7,,,,"Whenever an ally gains DEF. Kabutops grants them equal ATK until the end of Round.
",,140.png,,No.14O,,,,,141.png,No.141
1,base2b.png,No.139,OMASTAR,139.png,THE SPIRAL POKÉMON,ROCK,6,7,8,4,,,,Whenever an ally gains ATK. Omastar grants them equal DEF until the end of Round.,,138.png,,No.138,,,,,139.png,No.139
